method	dataset	sample_id	cancer	platform	sender_compartment	receiver_compartment	ligand	receptor	pathway	commot_mean_score	sender_spots	receiver_spots	distance_threshold_array_units
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.0006296553549415713	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	3.3819478823605197e-06	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	TGFB1	TGFBR1	TGFB	9.817847049138392e-06	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	5.427393637693182e-06	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.0011811252440711013	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	TGFB1	TGFBR1	TGFB	4.185067762146606e-05	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	TGFB1	TGFBR1	TGFB	3.1615055590217415e-05	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	TGFB1	TGFBR1	TGFB	3.15049329703455e-05	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	TGFB1	TGFBR1	TGFB	0.0024283244094661155	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.0007123431505321176	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	2.926728492269952e-06	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	TGFB1	TGFBR2	TGFB	1.296887040944336e-05	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	3.2321059955140387e-06	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.0013537322714929588	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	TGFB1	TGFBR2	TGFB	3.330999884860214e-05	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	TGFB1	TGFBR2	TGFB	2.3945352423160237e-05	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	TGFB1	TGFBR2	TGFB	2.525602624006143e-05	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	TGFB1	TGFBR2	TGFB	0.002521424454991493	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.0002301115903405931	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	2.671230318017885e-05	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	CXCL12	CXCR4	CXCL chemokine	7.391528696672387e-05	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	CXCL12	CXCR4	CXCL chemokine	3.488841565497189e-05	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.0016857509669389822	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	CXCL12	CXCR4	CXCL chemokine	0.0002759201118163819	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	CXCL12	CXCR4	CXCL chemokine	9.385827871088968e-05	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.00013134893620571797	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	CXCL12	CXCR4	CXCL chemokine	0.0022240029580157506	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	CXCL9	CXCR3	CXCL chemokine	2.315384303645824e-05	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	1.8612178630881786e-06	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	CXCL9	CXCR3	CXCL chemokine	4.745451080706611e-06	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	3.917220191558807e-06	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	0.0002472977344986134	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	CXCL9	CXCR3	CXCL chemokine	1.5339529701116696e-05	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	CXCL9	CXCR3	CXCL chemokine	1.7888479039672447e-06	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	2.9266383063673488e-05	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	CXCL9	CXCR3	CXCL chemokine	0.00021986204473248167	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	CCL2	CCR2	CCL chemokine	3.413278768023115e-05	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	CCL2	CCR2	CCL chemokine	3.7325914366817793e-06	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	6.529873010750409e-06	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	1.590999377161714e-06	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.0001971074797517916	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	4.513179142388409e-06	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	CCL2	CCR2	CCL chemokine	7.101357634482632e-06	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	CCL2	CCR2	CCL chemokine	1.578876483667924e-05	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	0.00017436657507497258	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	VEGFA	KDR	VEGF	0.00033846934602482217	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	VEGFA	KDR	VEGF	0.00011508543936269537	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	VEGFA	KDR	VEGF	0.00016848026652811136	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	VEGFA	KDR	VEGF	1.2508946860381421e-05	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	VEGFA	KDR	VEGF	0.0006649168344365372	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	VEGFA	KDR	VEGF	6.926903942915984e-05	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	VEGFA	KDR	VEGF	4.971237836376624e-05	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	VEGFA	KDR	VEGF	0.0002552673161999267	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	VEGFA	KDR	VEGF	0.0013765976832185518	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	SPP1	CD44	SPP1	0.020203059609098503	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	SPP1	CD44	SPP1	0.0007533611983923486	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	SPP1	CD44	SPP1	0.0013951593687555634	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	0.00047759022048617756	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.010219439052549285	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	SPP1	CD44	SPP1	0.003859801087752124	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	SPP1	CD44	SPP1	0.002078133133835984	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	SPP1	CD44	SPP1	0.0033549895016013777	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	SPP1	CD44	SPP1	0.05052515426655549	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.004412014742646328	1187	1187	2.5
