dataset	sample_id	cancer	pathway	receiver_compartment	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_spots	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support	matrix_rows	matrix_cols	matrix_nnz
GSE300445	GSM9060732_AdjIII-0019	melanoma	CCL chemokine	tumor_like	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	1187	0.2865768	0.9193787	0.31170703	0.64279697	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CCL chemokine	immune	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	0	0	0.62353945	1.6037478e-09	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CCL chemokine	stroma_fibroblast	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	992	0.97395833	0.39883646	2.4419993	0.92842742	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CCL chemokine	endothelial	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	0	0	0.62353945	1.6037478e-09	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CCL chemokine	ambiguous_or_low_signal	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	360	0.76898148	0.59951048	1.2826823	0.90277778	0.8	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CXCL chemokine	tumor_like	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	1187	2.2035143	3.7376374	0.58954737	0.99663016	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CXCL chemokine	immune	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0	0	3.0204242	3.3107932e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CXCL chemokine	stroma_fibroblast	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	992	3.7786578	2.5342137	1.4910573	0.99495968	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CXCL chemokine	endothelial	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0	0	3.0204242	3.3107932e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	CXCL chemokine	ambiguous_or_low_signal	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	360	3.6246032	2.9206058	1.241045	0.98888889	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	ECM-integrin	tumor_like	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	1187	9.3436301	51.027531	0.18310959	0.99915754	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	ECM-integrin	immune	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	0	0	31.54002	3.170575e-11	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	ECM-integrin	stroma_fibroblast	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	992	57.4319	14.937083	3.8449208	1	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	ECM-integrin	endothelial	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	0	0	31.54002	3.170575e-11	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	ECM-integrin	ambiguous_or_low_signal	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	360	33.379938	31.236041	1.0686354	0.99722222	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	EGF/ERBB	tumor_like	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	1187	7.7168281	5.6629068	1.3626974	0.99915754	0.8	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	EGF/ERBB	immune	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	0	0	6.6231292	1.5098603e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	EGF/ERBB	stroma_fibroblast	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	992	4.7852823	7.8016322	0.61336937	0.99899194	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	EGF/ERBB	endothelial	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	0	0	6.6231292	1.5098603e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	EGF/ERBB	ambiguous_or_low_signal	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	360	8.08125	6.3822281	1.2662114	0.99722222	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	MIF	tumor_like	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	1187	2.4810447	11.50429	0.21566256	0.97641112	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	MIF	immune	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	0	0	7.2858606	1.3725215e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	MIF	stroma_fibroblast	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	992	13.272177	3.4471881	3.850146	0.99596774	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	MIF	endothelial	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	0	0	7.2858606	1.3725215e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	MIF	ambiguous_or_low_signal	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	360	6.6327778	7.3937586	0.89707795	0.99444444	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	NOTCH	tumor_like	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	1187	2.1743892	2.5308538	0.85915245	0.99663016	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	NOTCH	immune	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	0	0	2.3642041	4.2297532e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	NOTCH	stroma_fibroblast	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	992	2.4033698	2.3390895	1.0274809	0.99193548	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	NOTCH	endothelial	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	0	0	2.3642041	4.2297532e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	NOTCH	ambiguous_or_low_signal	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	360	2.8821429	2.2786337	1.2648557	0.98888889	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	SPP1	tumor_like	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1187	23.478939	16.967209	1.3837832	0.99915754	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	SPP1	immune	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	0	0	20.011487	4.9971298e-11	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	SPP1	stroma_fibroblast	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	992	16.117944	22.508188	0.71609246	1	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	SPP1	endothelial	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	0	0	20.011487	4.9971298e-11	0	0.4	0	18085	2539	20010567
